Neighborhood,Year,Season,Property Type,Bedrooms,Bathrooms,Year Built,Renovation Year,Garage Type,Square Footage (House),Square Footage (Land),Basement,Legal Units,Market Price
Kitsilano,2009,Summer,Condo,4,2,1998,2008.0,Triple,2319,9266,Not Finished,2,555878.79
Kitsilano,2009,Fall,Condo,2,2,2021,,None,1096,1434,Not Finished,0,1256190.91
Kitsilano,2009,Winter,House,4,2,2012,,None,2114,4277,Not Finished,1,1858275.84
Kitsilano,2010,Spring,Townhouse,5,1,1971,2020.0,Double,2321,7110,Finished,1,2550874.86
Kitsilano,2010,Summer,Triplex,1,3,2021,,None,3610,7319,Not Finished,0,2233137.704
Kitsilano,2010,Fall,Condo,5,2,1976,,None,1708,3670,Finished,2,581077.4
Kitsilano,2010,Winter,Condo,1,2,2023,,None,1986,4818,Not Finished,2,374900.54
Kitsilano,2011,Spring,House,2,3,2011,,Double,3022,8530,Finished,2,1673224.92
Kitsilano,2011,Summer,Triplex,1,1,1968,1998.0,Double,1754,8110,Finished,0,2726615.97
Kitsilano,2011,Fall,Townhouse,5,3,1955,1984.0,None,3394,5735,Finished,2,1829264.21
Kitsilano,2011,Winter,Duplex,3,1,2012,,Double,4902,1758,Not Finished,2,2033466.09
Kitsilano,2012,Spring,House,1,2,2009,2021.0,Triple,3929,8700,Finished,0,2200279.97
Kitsilano,2012,Summer,Triplex,1,3,2019,,Triple,866,1902,Finished,1,2199979.77
Kitsilano,2012,Fall,Townhouse,4,2,1992,2005.0,Double,4042,4325,Not Finished,1,1630100.1
Kitsilano,2012,Winter,Duplex,2,1,1971,,Triple,1581,5053,Not Finished,0,1028688.04
Kitsilano,2013,Spring,Condo,3,1,1966,2022.0,None,510,3879,Not Finished,2,1196229.77
Kitsilano,2013,Summer,Triplex,1,2,1994,2019.0,None,640,6855,Not Finished,0,1705663.87
Kitsilano,2013,Fall,Duplex,3,1,2020,,Single,1703,3272,Finished,2,3296734.33
Kitsilano,2013,Winter,Duplex,3,2,2001,,None,4588,7481,Not Finished,2,2059205.37
Kitsilano,2014,Spring,Townhouse,2,1,2013,2023.0,Double,2041,1280,Finished,0,2225552.65
Kitsilano,2014,Summer,Condo,5,2,2003,2023.0,None,3340,2106,Finished,1,1230064.19
Kitsilano,2014,Fall,Triplex,3,3,2009,,None,3780,2774,Finished,0,1909800.41
Kitsilano,2014,Winter,Triplex,1,3,1976,2001.0,None,1618,7243,Finished,0,1106048.08
Kitsilano,2015,Spring,Triplex,5,2,1973,,Triple,1350,5456,Finished,2,2658225.31
Kitsilano,2015,Summer,Condo,1,1,2017,,Double,4787,3025,Not Finished,2,1029152.59
Kitsilano,2015,Fall,Townhouse,4,2,2010,,Single,2932,8641,Not Finished,2,1561489.58
Kitsilano,2015,Winter,House,3,1,1989,,Triple,1728,7656,Not Finished,2,1886757.12
Kitsilano,2016,Spring,Townhouse,1,1,1971,,None,3518,8128,Not Finished,1,947151.51
Kitsilano,2016,Summer,Duplex,1,2,2013,,None,1137,2148,Not Finished,1,4041826.17
Kitsilano,2016,Fall,House,3,3,1995,2015.0,Single,2093,4641,Not Finished,2,1827827.953
Kitsilano,2016,Winter,Condo,5,3,1979,2022.0,None,2251,5152,Finished,0,1099307.7689999999
Kitsilano,2017,Spring,Townhouse,5,1,1973,2002.0,None,4468,3199,Finished,1,1955446.28
Kitsilano,2017,Summer,Duplex,2,3,1951,1972.0,None,3032,3852,Not Finished,0,1395447.86
Kitsilano,2017,Fall,House,5,2,1979,2007.0,Triple,888,8551,Finished,1,4872991.93
Kitsilano,2017,Winter,Townhouse,5,3,1998,2017.0,Triple,4822,8204,Finished,0,1518070.68
Kitsilano,2018,Spring,Townhouse,1,3,1999,2015.0,Triple,1853,9643,Not Finished,1,1512078.52
Kitsilano,2018,Summer,Townhouse,4,3,1950,,Triple,4715,4802,Finished,2,1103962.84
Kitsilano,2018,Fall,Triplex,2,3,2010,2021.0,Single,3123,1578,Finished,1,4206597.26
Kitsilano,2018,Winter,Duplex,5,1,1990,2003.0,Single,1380,9425,Not Finished,0,2174630.43
Kitsilano,2019,Spring,House,2,1,1990,2022.0,None,4488,1807,Not Finished,2,6121216.39
Kitsilano,2019,Summer,House,4,2,1956,,Triple,4142,1170,Finished,1,6208433.12
Kitsilano,2019,Fall,House,2,3,2015,,Double,4397,8475,Not Finished,0,4878959.87
Kitsilano,2019,Winter,House,1,3,2002,,Triple,1335,1974,Finished,0,4192070.67
Kitsilano,2020,Spring,Triplex,3,1,1961,1975.0,None,1880,9422,Not Finished,0,2270281.76
Kitsilano,2020,Summer,Townhouse,4,3,1964,2014.0,Single,4025,6633,Finished,2,2675721.66
Kitsilano,2020,Fall,Condo,2,1,1967,,Triple,3433,9587,Not Finished,0,1090076.124
Kitsilano,2020,Winter,House,5,2,1970,,Triple,4896,8604,Finished,0,3603577.452
Kitsilano,2021,Spring,Duplex,4,2,2007,2020.0,Triple,2375,5721,Not Finished,1,4623890.232
Kitsilano,2021,Summer,Duplex,3,2,1988,2020.0,Single,2237,6980,Finished,1,4910870.1959999995
Kitsilano,2021,Fall,Triplex,4,1,2016,,Single,1398,6418,Finished,0,4246396.9799999995
Kitsilano,2021,Winter,Townhouse,5,2,1975,2023.0,Triple,3320,4558,Finished,1,4454027.124
Kitsilano,2022,Spring,House,2,1,1997,,None,2118,7956,Finished,0,2919061.968
Kitsilano,2022,Summer,Triplex,5,3,1955,1997.0,Triple,2788,9966,Not Finished,2,2952749.3880000003
Kitsilano,2022,Fall,Duplex,2,1,1991,,None,3726,6839,Not Finished,2,1438066.25
Kitsilano,2022,Winter,Condo,3,2,1959,,Triple,2297,2364,Finished,1,751003.88
Kitsilano,2023,Spring,Duplex,5,2,1965,,Double,3841,1211,Finished,0,3067727.7
Kitsilano,2023,Summer,Condo,4,1,1964,,Double,3051,3057,Finished,2,2210002.59
Kitsilano,2023,Fall,Duplex,2,1,2011,2023.0,Triple,4251,4327,Finished,1,2052492.18
Kitsilano,2023,Winter,Triplex,3,2,1983,,Single,4285,3232,Finished,1,2656377.55
Mount Pleasant,2004,Spring,Condo,4,1,2014,,Single,4570,5391,Not Finished,0,540298.77
Mount Pleasant,2004,Summer,House,3,1,2000,2015.0,None,1070,6291,Not Finished,2,1732560.86
Mount Pleasant,2004,Fall,House,1,3,1985,2018.0,None,994,4094,Finished,2,943354.83
Mount Pleasant,2004,Winter,Duplex,3,1,1966,,Double,3349,2376,Finished,2,1989950.78
Mount Pleasant,2005,Spring,Duplex,2,3,1982,,Double,3304,8749,Not Finished,0,1880584.94
Mount Pleasant,2005,Summer,Townhouse,5,2,2009,2022.0,Double,4028,4057,Not Finished,0,2141293.19
Mount Pleasant,2005,Fall,Duplex,1,3,1952,,Single,4897,8208,Finished,1,2070308.27
Mount Pleasant,2005,Winter,House,4,3,1984,2006.0,None,2465,6538,Not Finished,0,1226526.14
Mount Pleasant,2006,Spring,Condo,1,3,1950,,None,1438,3800,Not Finished,2,802274.77
Mount Pleasant,2006,Summer,Townhouse,2,3,1964,,Double,1475,3928,Finished,0,1514989.01
Mount Pleasant,2006,Fall,Triplex,3,1,1972,2019.0,Single,4405,3842,Not Finished,2,1399962.13
Mount Pleasant,2006,Winter,House,5,1,2002,2021.0,Triple,826,8448,Not Finished,1,2304604.27
Mount Pleasant,2007,Spring,Triplex,1,1,1969,,Double,2061,3684,Not Finished,2,2497439.21
Mount Pleasant,2007,Summer,Condo,1,1,1990,2018.0,Triple,1006,8334,Not Finished,1,1050012.88
Mount Pleasant,2007,Fall,Triplex,5,2,1981,,None,3572,1116,Not Finished,0,1105086.66
Mount Pleasant,2007,Winter,Duplex,4,1,1959,,Triple,2170,5909,Finished,1,2443772.72
Mount Pleasant,2008,Spring,Townhouse,3,2,2023,,Double,4113,7337,Not Finished,0,1061285.23
Mount Pleasant,2008,Summer,Condo,1,1,2019,,Double,4959,7393,Finished,0,700314.11
Mount Pleasant,2008,Fall,Duplex,4,1,1979,,Single,4328,7249,Finished,2,1752393.51
Mount Pleasant,2008,Winter,House,5,1,1961,,Single,3967,1264,Not Finished,0,2506247.78
Mount Pleasant,2009,Spring,Triplex,2,3,1952,2007.0,None,2690,5250,Finished,1,2760344.67
Mount Pleasant,2009,Summer,House,3,3,1968,1998.0,None,2804,8016,Finished,1,3157107.01
Mount Pleasant,2009,Fall,Duplex,4,1,2000,2013.0,Single,2296,4258,Finished,2,2740430.04
Mount Pleasant,2009,Winter,Duplex,5,1,1970,,Single,583,4785,Not Finished,1,1084830.64
Mount Pleasant,2010,Spring,Triplex,4,2,2006,,Double,2377,6341,Finished,0,2851086.53
Mount Pleasant,2010,Summer,House,4,1,2013,,Single,749,4088,Finished,2,2464113.48
Mount Pleasant,2010,Fall,House,5,1,1955,,Single,2826,5995,Finished,2,3469898.36
Mount Pleasant,2010,Winter,Triplex,3,1,1993,,Triple,2292,8784,Finished,2,2718313.88
Mount Pleasant,2011,Spring,Triplex,4,1,2011,2023.0,Triple,1390,7423,Not Finished,0,2023270.97
Mount Pleasant,2011,Summer,House,4,1,1988,2011.0,Double,4259,1865,Finished,2,2326204.19
Mount Pleasant,2011,Fall,Triplex,1,3,1992,,Single,4185,1669,Not Finished,1,2503549.57
Mount Pleasant,2011,Winter,Triplex,3,2,1970,1987.0,Triple,4250,6652,Not Finished,0,2709945.79
Mount Pleasant,2012,Spring,Condo,1,3,1966,,None,4676,5443,Finished,1,1322214.53
Mount Pleasant,2012,Summer,House,1,1,2011,2021.0,Triple,4619,1944,Finished,0,4424771.42
Mount Pleasant,2012,Fall,Townhouse,1,2,2017,,Single,3060,4977,Finished,0,2687834.94
Mount Pleasant,2012,Winter,House,5,1,2022,,None,1714,5970,Finished,0,3030528.99
Mount Pleasant,2013,Spring,House,3,3,1981,2008.0,Double,1066,6547,Not Finished,1,3572951.23
Mount Pleasant,2013,Summer,House,4,2,1982,1993.0,Single,2497,5429,Not Finished,0,2744623.43
Mount Pleasant,2013,Fall,Townhouse,5,1,1993,2021.0,Single,627,9303,Not Finished,1,2730274.57
Mount Pleasant,2013,Winter,Townhouse,2,3,1967,,Triple,4073,2345,Finished,0,2026276.15
Mount Pleasant,2014,Spring,Triplex,1,1,1953,,Double,2924,9011,Not Finished,1,1158235.99
Mount Pleasant,2014,Summer,Townhouse,2,1,1991,,Double,2281,7386,Not Finished,0,827231.12
Mount Pleasant,2014,Fall,Condo,5,3,1994,2018.0,Double,4248,9137,Finished,1,1134757.106
Mount Pleasant,2014,Winter,Triplex,1,2,2014,,Double,3532,7218,Not Finished,1,3478089.08
Mount Pleasant,2015,Spring,Condo,2,2,1982,1999.0,None,749,7793,Not Finished,0,594502.32
Mount Pleasant,2015,Summer,Condo,4,1,1965,1982.0,Double,1972,5591,Not Finished,0,1822214.47
Mount Pleasant,2015,Fall,Duplex,2,2,1955,,Single,3363,2835,Finished,0,1624708.41
Mount Pleasant,2015,Winter,House,4,2,1985,2011.0,None,4333,5018,Finished,1,2019437.34
Mount Pleasant,2016,Spring,Townhouse,3,3,2007,2019.0,Single,4917,4374,Finished,0,1446802.4
Mount Pleasant,2016,Summer,Triplex,1,3,1965,1999.0,Triple,1766,6924,Not Finished,1,2451250.18
Mount Pleasant,2016,Fall,Duplex,3,2,1982,,Single,2608,1020,Not Finished,1,2539505.55
Mount Pleasant,2016,Winter,Townhouse,3,1,2019,,None,4389,6177,Not Finished,0,1973458.21
Mount Pleasant,2017,Spring,Duplex,2,2,1999,,Triple,2564,4435,Not Finished,1,3214901.86
Mount Pleasant,2017,Summer,Townhouse,4,3,2017,,None,3974,6439,Not Finished,0,3263698.41
Mount Pleasant,2017,Fall,House,5,2,1981,,Single,3260,3879,Finished,2,2611986.78
Mount Pleasant,2017,Winter,Condo,5,2,2022,,Double,4215,9439,Finished,1,1440686.95
Mount Pleasant,2018,Spring,Townhouse,4,3,2020,,None,1096,3490,Not Finished,1,1807706.27
Mount Pleasant,2018,Summer,Duplex,4,2,2010,2021.0,Double,1715,1758,Not Finished,1,4167517.71
Mount Pleasant,2018,Fall,House,4,2,1986,2001.0,Triple,886,4701,Finished,0,1379754.16
Mount Pleasant,2018,Winter,Triplex,2,1,2006,,Single,2056,9139,Finished,0,2682588.16
Mount Pleasant,2019,Spring,House,2,1,1990,2019.0,Single,1814,8771,Finished,0,4533538.22
Mount Pleasant,2019,Summer,Condo,3,3,2022,,Single,1124,4407,Finished,1,2102207.31
Mount Pleasant,2019,Fall,Duplex,1,1,2017,,None,4410,7163,Not Finished,0,1919822.57
Mount Pleasant,2019,Winter,House,1,1,2006,2022.0,Double,1627,3636,Finished,0,5203597.7
Mount Pleasant,2020,Spring,House,3,3,2016,,Double,3364,7104,Not Finished,0,4110578.69
Mount Pleasant,2020,Summer,Townhouse,4,3,1984,2011.0,None,4535,5388,Finished,0,2096975.07
Mount Pleasant,2020,Fall,House,3,1,2023,,Triple,1832,6117,Not Finished,2,7049375.711999999
Mount Pleasant,2020,Winter,Townhouse,3,3,2000,,Triple,1563,4569,Not Finished,1,1973102.736
Mount Pleasant,2021,Spring,Townhouse,3,3,2016,,Triple,4184,9709,Not Finished,2,1364948.8919999998
Mount Pleasant,2021,Summer,Townhouse,2,1,1952,1993.0,Double,2497,3602,Finished,0,2767841.928
Mount Pleasant,2021,Fall,Townhouse,2,1,2001,2017.0,Triple,859,9271,Not Finished,2,3816743.964
Mount Pleasant,2021,Winter,Condo,1,3,1970,,Double,2915,1141,Not Finished,1,963780.036
Mount Pleasant,2022,Spring,Condo,1,1,1967,1986.0,Single,4080,7896,Not Finished,0,2730161.796
Mount Pleasant,2022,Summer,Condo,1,2,1974,,Single,2700,4939,Finished,2,765970.956
Mount Pleasant,2022,Fall,Townhouse,4,2,2003,,Triple,4483,5623,Finished,2,1750972.483
Mount Pleasant,2022,Winter,Townhouse,4,3,2006,2020.0,None,3813,6854,Finished,0,3809701.86
Mount Pleasant,2023,Spring,Townhouse,3,3,2003,,None,1521,7186,Not Finished,0,3864442.0
Mount Pleasant,2023,Summer,Triplex,1,1,1993,,Single,3556,1088,Finished,2,3504862.91
Mount Pleasant,2023,Fall,Duplex,3,2,1982,,Triple,3591,8554,Not Finished,2,4782601.25
Mount Pleasant,2023,Winter,Townhouse,1,2,2011,2023.0,Triple,2441,1747,Finished,0,1816885.15
West End,2004,Spring,Duplex,3,2,2007,2019.0,None,3571,9637,Finished,2,2289141.82
West End,2004,Summer,Triplex,2,2,1983,1996.0,None,3255,4121,Finished,1,1046390.31
West End,2004,Fall,House,4,1,2007,,Single,1932,1575,Finished,0,2409081.31
West End,2004,Winter,Townhouse,4,1,2002,,None,2333,1261,Not Finished,0,715456.59
West End,2005,Spring,Townhouse,1,1,2022,,None,2334,6141,Finished,1,718101.98
West End,2005,Summer,Triplex,5,1,1954,,None,2653,9511,Not Finished,1,2116074.07
West End,2005,Fall,Townhouse,3,1,1975,,None,2223,7048,Not Finished,1,1942139.91
West End,2005,Winter,Duplex,3,2,2016,,Single,3479,4627,Not Finished,0,2088264.26
West End,2006,Spring,Duplex,5,3,1970,,Triple,4003,3451,Not Finished,1,2372219.06
West End,2006,Summer,Triplex,4,2,1973,,Double,2533,8467,Finished,1,2661381.7
West End,2006,Fall,Townhouse,4,2,1954,,Triple,3971,8345,Finished,1,1356464.82
West End,2006,Winter,Condo,3,3,2020,,Double,2123,6053,Finished,1,1180022.16
West End,2007,Spring,Duplex,2,1,1991,,None,4312,6229,Not Finished,0,2289691.41
West End,2007,Summer,House,5,1,1950,2019.0,Triple,4581,7720,Not Finished,2,3860072.42
West End,2007,Fall,Townhouse,4,3,1989,2019.0,None,2845,2938,Finished,0,900311.14
West End,2007,Winter,Townhouse,5,1,2004,,Double,4103,3737,Finished,0,1452620.81
West End,2008,Spring,Condo,3,2,2009,,Double,3598,3571,Finished,0,423816.2
West End,2008,Summer,Duplex,1,1,1958,,Single,2470,9910,Not Finished,2,898524.67
West End,2008,Fall,Townhouse,2,3,1996,,Double,4067,9283,Not Finished,2,1631236.23
West End,2008,Winter,Triplex,3,2,1963,,Triple,4597,2468,Not Finished,0,2678275.09
West End,2009,Spring,House,1,1,1955,,Single,3889,2729,Not Finished,2,2144387.36
West End,2009,Summer,Duplex,4,2,1999,2023.0,None,4084,8410,Not Finished,0,2242019.75
West End,2009,Fall,Townhouse,2,1,2022,,Triple,3573,6127,Finished,2,2390215.15
West End,2009,Winter,Triplex,1,3,2021,,Triple,4175,7113,Finished,1,2420371.31
West End,2010,Spring,Duplex,1,3,1983,,Single,1563,9738,Not Finished,1,1978561.865
West End,2010,Summer,Duplex,1,2,2006,2016.0,Single,3084,2243,Not Finished,0,2964661.36
West End,2010,Fall,Duplex,3,2,1963,1998.0,Double,965,4386,Finished,2,1777815.61
West End,2010,Winter,House,2,1,1980,1997.0,Single,3307,6569,Finished,0,1001640.64
West End,2011,Spring,Triplex,1,3,2007,,None,2005,7677,Finished,0,1944661.03
West End,2011,Summer,Condo,2,1,2014,,Single,1202,8746,Finished,2,878333.65
West End,2011,Fall,Townhouse,2,2,2010,2023.0,Triple,1847,4078,Finished,2,1946424.13
West End,2011,Winter,Townhouse,2,3,1976,,None,4547,1983,Not Finished,2,1613966.94
West End,2012,Spring,House,4,3,1989,2003.0,Double,2115,3476,Finished,0,2135408.18
West End,2012,Summer,Townhouse,4,2,1967,1977.0,None,3912,3287,Finished,0,1134583.66
West End,2012,Fall,Triplex,3,1,1961,1976.0,Single,570,9981,Not Finished,2,2259569.51
West End,2012,Winter,Duplex,4,2,1957,,Triple,1682,7480,Not Finished,1,1474985.53
West End,2013,Spring,Condo,1,3,2008,2021.0,Triple,1078,6510,Not Finished,2,1215481.34
West End,2013,Summer,Duplex,1,3,1961,,Triple,1687,9076,Finished,1,2854161.16
West End,2013,Fall,Townhouse,3,3,1972,2012.0,None,1963,4818,Not Finished,2,1698549.19
West End,2013,Winter,Triplex,4,1,2001,2016.0,None,2389,8853,Not Finished,1,2949369.79
West End,2014,Spring,Triplex,1,3,1970,,Double,3374,6389,Not Finished,0,1166087.04
West End,2014,Summer,Triplex,1,3,1973,,None,2298,5518,Finished,2,1302369.08
West End,2014,Fall,Duplex,5,2,2015,,None,4525,1854,Not Finished,1,2723901.51
West End,2014,Winter,Triplex,2,1,1951,1968.0,Triple,889,7070,Finished,1,3033634.12
West End,2015,Spring,House,3,1,1975,2004.0,None,4245,7468,Not Finished,0,2467379.74
West End,2015,Summer,Duplex,3,2,2017,,None,4794,2106,Not Finished,1,2421773.92
West End,2015,Fall,Triplex,4,3,2002,,Triple,1774,9305,Finished,2,3622195.3
West End,2015,Winter,Triplex,2,3,1961,1996.0,Double,1278,9875,Finished,2,1549804.01
West End,2016,Spring,Triplex,5,3,2001,2015.0,Triple,2043,3689,Not Finished,0,4023018.025
West End,2016,Summer,Townhouse,3,2,1969,,None,1305,9672,Finished,1,2776829.64
West End,2016,Fall,Townhouse,3,2,1996,2015.0,Single,666,9314,Finished,1,2423587.66
West End,2016,Winter,Townhouse,5,2,1979,,Triple,4738,8057,Not Finished,0,2011367.26
West End,2017,Spring,Triplex,2,2,1980,2017.0,Double,2791,3839,Finished,0,4054051.11
West End,2017,Summer,Duplex,3,3,1956,,Triple,3310,4198,Not Finished,0,3667688.61
West End,2017,Fall,House,1,1,1983,2018.0,Single,1250,3881,Not Finished,1,5478893.01
West End,2017,Winter,Duplex,5,3,2010,,None,1180,9001,Not Finished,1,2109621.2
West End,2018,Spring,Townhouse,5,1,2009,,Double,819,3933,Not Finished,0,2023768.65
West End,2018,Summer,Triplex,2,3,2005,,Triple,1741,7957,Not Finished,1,5486652.0540000005
West End,2018,Fall,Triplex,2,2,2001,2019.0,Triple,599,2551,Finished,1,2559954.86
West End,2018,Winter,House,4,1,1985,2013.0,Triple,756,8472,Finished,2,3811521.54
West End,2019,Spring,Condo,2,1,2001,,Single,1714,6614,Finished,0,1789102.94
West End,2019,Summer,Townhouse,2,3,1983,2010.0,Single,4482,4950,Not Finished,1,1386003.63
West End,2019,Fall,House,1,3,1981,1996.0,Single,2851,9776,Not Finished,2,1141955.3
West End,2019,Winter,House,4,3,1954,2014.0,Triple,3177,7552,Finished,1,2760681.07
West End,2020,Spring,Condo,5,3,1966,,Triple,4864,8819,Finished,1,1332634.75
West End,2020,Summer,Condo,5,2,1997,2020.0,Double,2142,8618,Not Finished,1,1313061.11
West End,2020,Fall,Condo,4,2,1993,,Triple,937,9439,Not Finished,0,1552590.1679999998
West End,2020,Winter,Triplex,2,2,2004,,Double,4337,2828,Not Finished,0,2394434.652
West End,2021,Spring,Townhouse,4,2,1976,2014.0,Double,4166,7701,Not Finished,0,4559256.756
West End,2021,Summer,Duplex,2,1,2020,,Triple,3003,5764,Finished,0,1911408.348
West End,2021,Fall,Triplex,4,3,2020,,Single,1593,1307,Finished,0,4241095.968
West End,2021,Winter,Condo,1,3,1953,1981.0,Double,3543,5669,Finished,2,1965177.108
West End,2022,Spring,House,4,3,2022,,None,4314,4557,Finished,1,2409353.52
West End,2022,Summer,Condo,1,2,1951,,Single,692,6049,Finished,2,1710987.66
West End,2022,Fall,House,1,3,1997,2018.0,Single,2912,4361,Not Finished,2,4562038.78
West End,2022,Winter,Condo,5,1,1997,,Triple,4355,3249,Finished,0,1651922.7270000002
West End,2023,Spring,House,3,1,1979,,Single,1443,8733,Finished,2,6511306.85
West End,2023,Summer,Duplex,5,1,1977,2021.0,None,4902,6196,Not Finished,2,3719651.41
West End,2023,Fall,House,3,3,1968,,None,3281,3568,Not Finished,2,2934926.59
West End,2023,Winter,Condo,1,2,1972,,None,3675,6529,Finished,0,1687272.4
Downtown,2004,Spring,Duplex,2,3,1980,2006.0,None,4346,1292,Not Finished,2,847319.84
Downtown,2004,Summer,Duplex,4,1,1976,,Double,2817,8541,Finished,0,1568376.55
Downtown,2004,Fall,Duplex,5,2,1991,,Double,4489,6586,Finished,1,749515.43
Downtown,2004,Winter,Duplex,4,1,2012,,Triple,3004,4438,Not Finished,0,2339882.7
Downtown,2005,Spring,Townhouse,3,3,2018,,Double,3368,3841,Not Finished,2,1722057.21
Downtown,2005,Summer,House,4,2,2023,,Triple,4411,2640,Finished,2,1702944.62
Downtown,2005,Fall,Townhouse,1,1,2022,,Double,583,2063,Not Finished,2,1235754.36
Downtown,2005,Winter,Triplex,1,3,1950,,Double,3492,9752,Finished,0,2009482.99
Downtown,2006,Spring,Townhouse,1,2,2017,,Triple,833,3982,Finished,2,2057190.2
Downtown,2006,Summer,Condo,4,3,2006,,Single,4581,1184,Finished,0,1229202.26
Downtown,2006,Fall,Duplex,1,1,2020,,Double,2756,6850,Finished,2,959013.57
Downtown,2006,Winter,Duplex,2,1,2018,,None,3571,7513,Not Finished,1,2176056.87
Downtown,2007,Spring,House,5,2,1975,2001.0,Double,4692,9897,Not Finished,0,726271.92
Downtown,2007,Summer,Townhouse,2,3,1995,2022.0,Single,3914,5098,Finished,2,1439523.18
Downtown,2007,Fall,Triplex,1,3,1963,,Triple,3453,4430,Not Finished,2,1133122.96
Downtown,2007,Winter,Townhouse,1,3,1974,,None,4145,7254,Not Finished,2,1873951.13
Downtown,2008,Spring,House,3,2,1962,1996.0,Triple,1110,9138,Not Finished,2,2357551.05
Downtown,2008,Summer,Triplex,5,2,2003,,Double,4729,9672,Not Finished,0,1019879.09
Downtown,2008,Fall,Triplex,5,1,1955,,Triple,2562,3355,Not Finished,2,1208231.06
Downtown,2008,Winter,Condo,5,3,1957,2016.0,Single,1515,6409,Not Finished,0,977134.31
Downtown,2009,Spring,Duplex,3,3,1989,2014.0,Single,3662,8717,Finished,0,2128561.11
Downtown,2009,Summer,Duplex,4,1,1961,1976.0,Triple,4440,7959,Finished,1,2160772.9
Downtown,2009,Fall,Condo,3,3,2015,,Single,1571,9874,Not Finished,2,1309850.16
Downtown,2009,Winter,House,3,3,1996,2018.0,Single,4059,2389,Finished,0,1984961.6
Downtown,2010,Spring,House,5,2,2014,,None,3713,3352,Finished,1,1551925.74
Downtown,2010,Summer,Condo,4,3,2005,,Triple,857,6510,Finished,1,500551.75
Downtown,2010,Fall,Duplex,2,2,1992,,Single,1962,4650,Not Finished,0,2862241.22
Downtown,2010,Winter,Townhouse,4,2,1977,,None,3905,7084,Finished,0,2238007.41
Downtown,2011,Spring,Triplex,2,3,1964,,Triple,1679,1491,Not Finished,2,1168203.73
Downtown,2011,Summer,Duplex,1,2,1951,,Single,3918,7205,Not Finished,0,3035186.27
Downtown,2011,Fall,Triplex,1,2,1954,2009.0,Double,4262,6583,Not Finished,2,1811014.81
Downtown,2011,Winter,House,5,2,1994,,Triple,4915,1627,Not Finished,1,3930148.7
Downtown,2012,Spring,Condo,4,3,2003,2023.0,Triple,2498,8797,Not Finished,0,709915.75
Downtown,2012,Summer,House,1,3,2004,2019.0,Single,1558,3348,Not Finished,1,2467614.77
Downtown,2012,Fall,Condo,1,2,1952,2014.0,None,1398,5852,Finished,1,1362815.93
Downtown,2012,Winter,House,5,3,1964,1981.0,Triple,4716,5116,Not Finished,0,3358260.26
Downtown,2013,Spring,Townhouse,4,1,1976,,Double,3429,9068,Finished,2,1122862.07
Downtown,2013,Summer,Duplex,4,3,2003,,Triple,1910,3721,Finished,0,941074.6799999998
Downtown,2013,Fall,Triplex,1,2,1986,2019.0,Double,1990,3454,Not Finished,1,1911581.05
Downtown,2013,Winter,Duplex,5,2,2015,,Triple,943,2123,Not Finished,2,1195445.45
Downtown,2014,Spring,Duplex,4,2,1967,,Double,1734,1641,Not Finished,1,3533181.14
